Ключ,Значение,Название,Варианты,Пояснение,Не встречается
一,один,いち,,"Древний знак в виде короткой горизонтальной черты остался неизменным по сей день. Иероглиф обозначает: «один@@@ первый@@@ во-первых@@@ одинаковый@@@ единый@@@ единичный@@@ каждый@@@ отдельный@@@ весь@@@ сплошной@@@ целый» и др.
В качестве ключевого знака иероглиф «один» малоупотребителен.",
丨,вертикальная черта,たてぼう,,"Вертикальная черта в китайской иероглифике указывала на единство противоположностей@@@ т.е. верх и низ.
Поэтому этот иероглиф может обозначать «двигаться вперед и отступать@@@ подвигаться назад». В современном языке иероглиф обычно употребляется в значении «палка@@@ палочка (осевая черта в иероглифе)»@@@ а также знак@@@ заменяющий заглавный иероглиф в тексте словарной статьи в китайских словарях.
В качестве ключевого знака иероглиф «палка» малоупотребителен.",
丶,точка,てん,・,"Древний рисунок изображал свет@@@ исходящий от горящей лампы
В современном языке иероглиф употребляется в значениях: «пламя светильника»@@@ «точка@@@ знак@@@ символ».
В качестве ключевого знака иероглиф «точка» малоупотребителен.",
ノ,диагональная черта@@@ вниз налево@@@ часть,の,,"Древний иероглиф указывал направление справа налево и сверху вниз@@@ что передавало смысл «напротив@@@ наоборот@@@ противоположность@@@ противодействие».
В современном языке иероглиф обозначает откидную черту в составе иероглифа.
В качестве ключевого знака иероглиф малоупотребителен.",
乛,второй@@@ рыболовный крючок,おつ,乙@@@ 乚@@@ 𠃊@@@ 𠃋@@@ 𠃍@@@ 𠃌@@@ ⺄@@@ 𠃑,"Древняя пиктограмма ввиду своей простоты имеет несколько толкований. По одной версии@@@ это изображение небольшого ножа@@@ по другой - молодой побег растения ранней весной.
В современном языке иероглиф используется в разных значениях: «побег»@@@ «редкостный@@@ превосходный@@@ изысканный»@@@ «ласточка».
В качестве ключевого знака иероглиф «побег» употребляется сравнительно редко.",
亅,вертикальная черта с крючком@@@ крючок,はねぼう,,"Древний рисунок@@@ от которого произошел иероглиф «крючок»@@@ изображал шип@@@ колючку или крюк.
В качестве ключевого знака иероглиф «крючок» малоупотребителен.",
二,два,に,,"Древний рисунок изображал не только цифру 2@@@ но и в китайской философии землю и небо.
В современном языке иероглиф имеет значения: «два@@@ во-вторых@@@ второй@@@ двоякий@@@ двойной@@@ двойственный@@@ дважды@@@ раздвоение@@@ пара» и др.
В качестве ключевого знака иероглиф «два» малоупотребителен.",
亠,крышка,なべぶた,,"Древний рисунок обозначал верхушку крыши.
В современном языке иероглиф используется в значениях: «верхушка@@@ голова».
В качестве ключевого знака иероглиф «верхушка» малоупотребителен.",
人,человек,ひと,⺅,"Древняя пиктограмма изображала человека в профиль.
Современный иероглиф «человек» в сочетаниях с другими иероглифами может использоваться в разных значениях: «человечество@@@ род человеческий»@@@ «каждый человек@@@ люди»@@@ «взрослый@@@ солидный@@@ персона»@@@ «человек@@@ уроженец данной области@@@ государства»@@@ «работник@@@ рабочие руки»@@@ «лучшие стороны человеческой натуры@@@ таланты@@@ способности@@@ достоинство@@@ честь»@@@ «человеческий труд@@@ сделанное руками человека».
«Человек» - сильный ключевой знак. Располагаться может в левой части сложных иероглифов в виде ⺅.",
儿,ноги человека,ひとあし,,"Древняя пиктограмма изображала человека в движении с согнутой ногой.
Иероглиф получил значение «человек»@@@ «шагающий человек».
Самостоятельно иероглиф употребляется только в этих значениях.
В качестве ключевого знака иероглиф «шагающий человек» используется редко.",
入,входить,いる,,"Древний рисунок изображал вход.
В современном языке иероглиф@@@ произошедший от этого знака@@@ употребляется в значениях: «входить@@@ проникать@@@ вступать@@@ заходить» и др.
В качестве ключевого знака иероглиф «вход» малоупотребителен.",
八,восемь,はち,,"Происхождение иероглифа «восемь» связывают с двоичной системой измерения. Восемь - это самое большое среди простых чисел@@@ делящееся на два.
В современном языке иероглиф используется в значениях: «восемь@@@ восьмой@@@ восьмерной» и т.д. Кроме этого иероглиф употребляют в значениях «делить@@@ разделять».
В качестве ключевого знака «восемь» употребляется сравнительно нечасто.",
冂,огораживать,けいがまえ,,"Две вертикальные черты в древней идеограмме указывали на отдаленные друг от друга земли@@@ горизонтальная
- на связку между ними@@@ т.е. границу.
В современном языке иероглиф обозначает «отдаленные пустынные земли».
В качестве ключевого знака иероглиф малоупотребителен.",
冖,корона,わかんむり,,"Древняя пиктограмма «крышка» стала прообразом со-временного иероглифа «крышка@@@ покрывало@@@ покрышка».
В качестве ключевого знака иероглиф «крышка» используется сравнительно редко.",
冫,лёд@@@ капли воды,にすい,,"Точный смысл древней пиктограммы «лед» неизвестен@@@ хотя можно предположить@@@ что древние китайцы изобразили осколки льда или вершины гор@@@ покрытые льдом.
Самостоятельно иероглиф практически не употребляется и является слабым ключевым знаком@@@ входящим в такие иероглифы@@@ как «зима»@@@ «холодный»@@@ «замерзать».
Несмотря на его малоупотребительность@@@ иероглиф выделен в отдельный ключевой знак.",
几,стол,きにょう,⺇,"Древний рисунок чайного стола стал прообразом современного иероглифа «чайный столик».
В качестве ключевого знака иероглиф малоупотребителен.",
凵,открытая коробка,かんにょう,,"Древняя пиктограмма «рот» послужила прообразом еще одному иероглифу-ключу@@@ который выглядит несколько иначе и имеет значение «открытый рот».
Кроме указанного выше значения иероглиф может обозначать «вместилище@@@ посудина@@@ яма».
В качестве ключевого знака иероглиф «открытый рот» малоупотребителен.",
